generation,genome,fitness,complete_lines,aggregate_height,holes,bumpiness
2,15,0,-0.689,-0.7,0.625,0.488
2,16,0,0.654,-0.589,0.407,0.469
2,17,0,-0.353,-0.715,0.36,0.757
2,18,0,-0.074,0.764,0.133,-0.816
2,19,0,0.566,0.06,-0.939,0.335
2,20,0,0.292,0.695,-0.301,0.533
2,21,0,0.088,0.1,0.717,-0.354
2,22,0,0.084,0.192,0.038,-0.535
2,23,0,0.237,-0.5,-0.363,0.341
2,24,0,-0.755,0.036,0.709,-0.592
2,25,0,-0.231,0.245,0.93,-0.758
2,26,0,-0.598,0.1,-0.869,0.325
2,27,0,0.704,0.032,-0.064,0.009
2,28,0,-0.677,0.933,-0.404,0.432
2,29,0,0.977,0.418,0.798,-0.797
2,30,0,0.242,-0.124,0.16,-0.215
2,31,0,-0.161,-0.856,0.697,-0.253
2,32,0,0.297,-0.573,0.867,-0.771
2,33,0,0.261,-0.622,0.2,0.847
2,34,0,-0.29,1.339,-0.1,-0.059
2,35,0,-0.333,0.068,0.7,-0.473
2,36,0,0.332,-0.711,-0.2,0.367
2,37,0,-0.12,-0.102,0.4,-0.066
2,38,0,0.482,-0.928,0.043,0.422
2,39,0,-0.827,-0.666,-0.3,-0.088
2,40,0,0.118,0.866,0.563,-0.829
2,41,0,-0.827,-0.666,-0.337,-0.088
2,42,400,-0.404,-0.478,0.051,-0.719
2,43,400,-0.535,0.514,-0.839,-0.353
2,44,400,0.297,-0.573,0.9,-0.771
2,45,1400,-0.655,-0.575,-0.5,-0.44
2,46,1600,-0.229,-0.671,-0.414,-0.868
2,47,1800,-0.84,-0.469,-0.9,-0.51
2,48,2000,-0.665,-0.995,0.229,-0.769
2,49,2000,-0.095,0.076,-0.4,-0.385
2,50,2200,-0.692,-0.94,0.1,-0.656
2,51,2400,0.128,-0.126,-0.542,-0.796
2,52,2800,0.077,0.02,-0.5,-0.672
2,53,2800,-0.327,-0.597,0.3,-0.572
2,54,3000,-0.115,-0.635,-0.1,-0.656
2,55,4200,-0.344,-0.785,0,-0.703
2,56,4200,0.483,-0.674,0.31,-0.4
2,57,4200,-0.105,-0.382,-0.3,-0.788
2,58,4400,0.329,-0.468,0.1,-0.393
2,59,5400,0.418,-0.515,-0.1,-0.778
2,60,5600,-0.665,-0.995,0.2,-0.769
2,61,5600,-0.261,-0.383,-0.5,-0.826
2,62,6400,-0.032,-0.054,-0.6,-0.539
2,63,6800,0.538,0.049,-0.8,-0.969
2,64,7400,-0.645,-0.473,-0.5,-0.604
2,65,8200,0.665,-0.071,-0.056,-0.181
2,66,8200,0.657,-0.619,0.013,-0.657
2,67,8400,0.341,-0.665,0.2,-0.461
2,68,8600,-0.84,-0.469,-0.922,-0.51
2,69,8800,-0.332,-0.955,0.39,-0.356
2,70,9000,0.019,-0.342,-0.3,-0.979
2,71,9200,0.019,-0.342,-0.281,-0.979
2,72,9400,0.538,0.049,-0.755,-0.969
2,73,9600,-0.115,-0.635,-0.084,-0.656
2,74,9600,-0.292,-0.843,0.1,-0.557
2,75,9600,0.5,-0.452,0,-0.575
2,76,9800,0.418,-0.919,-0.7,-0.289
2,77,10000,0.164,0.563,-0.705,-0.211
2,78,10200,0.36,-0.483,0,-0.538
2,79,10200,0.461,-0.936,-0.8,-0.371
2,80,11800,-0.269,-0.862,0.3,-0.443
2,81,12000,0.454,-0.677,0,-0.674
2,82,12000,-0.115,-0.635,-0.1,-0.656
2,83,15600,0.181,-0.5,0.2,-0.266
2,84,19600,0.66,-0.402,0,-0.469
2,85,19800,0.665,-0.071,-0.1,-0.181
2,86,23200,0.32,-0.585,-0.2,-0.624
2,87,26200,0.62,-0.028,-0.3,-0.462
2,88,27800,0.483,-0.674,0.3,-0.4
2,89,48280,0.812,0.023,-0.6,-0.178
2,90,50740,0.804,0.165,-0.8,-0.088
2,91,50880,0.844,0.155,-0.8,-0.08
2,92,51880,0.823,0.148,-0.8,-0.142
2,93,53280,0.749,0.12,-0.8,-0.104
2,94,54140,0.597,-0.514,-0.064,-0.103
2,95,54740,0.485,-0.916,-0.824,-0.283
2,96,59480,0.423,-0.967,-0.889,-0.511
2,97,63880,0.431,-0.898,-0.8,-0.292
2,98,64040,0.368,-0.942,-0.8,-0.541
2,99,64480,0.844,0.155,-0.77,-0.08
2,100,73880,0.392,-0.919,-0.9,-0.506
3,1,1600,-0.327,-0.597,0.3,-0.572
3,2,1600,0.366,-0.534,0,-0.536
3,3,1600,-0.488,-0.748,0.2,-0.609
3,4,1600,-0.344,-0.785,0,-0.703
3,5,2000,0.019,-0.342,-0.281,-0.979
3,6,2000,-0.115,-0.635,-0.1,-0.656
3,7,3000,0.418,-0.515,-0.1,-0.778
3,8,3200,0.077,0.02,-0.5,-0.672
3,9,3200,-0.261,-0.383,-0.5,-0.826
3,10,3200,0.019,-0.342,-0.3,-0.979
3,11,3800,-0.665,-0.995,0.2,-0.769
3,12,4000,0.568,-0.232,-0.2,-0.529
3,13,4000,-0.645,-0.473,-0.5,-0.604
3,14,4200,-0.84,-0.469,-0.922,-0.51
3,15,5000,-0.115,-0.635,-0.084,-0.656
3,16,5200,0.164,0.563,-0.705,-0.211
3,17,5400,0.66,-0.402,0,-0.469
3,18,5600,-0.292,-0.843,0.1,-0.557
3,19,5600,0.637,-0.188,-0.2,-0.465
3,20,6200,-0.311,-0.897,0.2,-0.461
3,21,6400,0.119,-0.402,-0.3,-0.761
3,22,6600,-0.332,-0.955,0.39,-0.356
3,23,6800,0.128,-0.126,-0.542,-0.796
3,24,7200,-0.115,-0.635,-0.1,-0.656
3,25,7400,0.5,-0.452,0,-0.575
3,26,7400,0.538,0.049,-0.755,-0.969
3,27,7400,0.341,-0.665,0.2,-0.461
3,28,7600,0.538,0.049,-0.8,-0.969
3,29,7800,-0.105,-0.382,-0.3,-0.788
3,30,9000,-0.269,-0.862,0.3,-0.443
3,31,10400,0.36,-0.483,0,-0.538
3,32,10800,0.454,-0.677,0,-0.674
3,33,10800,0.329,-0.468,0.1,-0.393
3,34,12200,0.639,-0.047,-0.2,-0.341
3,35,12800,0.665,-0.071,-0.1,-0.181
3,36,14000,0.657,-0.619,0.013,-0.657
3,37,14200,0.483,-0.674,0.31,-0.4
3,38,15400,0.181,-0.5,0.2,-0.266
3,39,16200,0.62,-0.028,-0.3,-0.462
3,40,17400,0.264,-0.551,0,-0.48
3,41,22600,0.452,-0.26,0,-0.218
3,42,23400,0.665,-0.071,-0.056,-0.181
3,43,23400,-0.032,-0.054,-0.6,-0.539
3,44,24000,0.483,-0.674,0.3,-0.4
3,45,25200,0.445,-0.228,-0.4,-0.745
3,46,30200,0.497,0.142,-0.3,-0.191
3,47,36600,0.096,-0.891,-0.4,-0.461
3,48,40200,0.32,-0.585,-0.2,-0.624
3,49,48280,0.755,0.089,-0.6,-0.249
3,50,48880,0.818,0.088,-0.7,-0.159
3,51,48940,0.597,-0.514,-0.064,-0.103
3,52,50080,0.828,0.091,-0.7,-0.128
3,53,50140,0.614,-0.484,0,-0.2
3,54,50280,0.638,-0.396,-0.8,-0.189
3,55,50680,0.382,-0.9,-0.7,-0.562
3,56,50880,0.814,0.156,-0.8,-0.115
3,57,50940,0.442,-0.874,-0.5,-0.476
3,58,50940,0.658,-0.4,-0.8,-0.185
3,59,51140,0.764,-0.03,-0.8,-0.18
3,60,51340,0.438,-0.736,-0.6,-0.456
3,61,51340,0.706,0.071,-0.6,-0.222
3,62,51540,0.403,-0.861,-0.5,-0.498
3,63,51600,0.823,0.148,-0.8,-0.142
3,64,51740,0.749,0.12,-0.8,-0.104
3,65,51740,0.741,0.093,-0.7,-0.192
3,66,51940,0.461,-0.936,-0.8,-0.371
3,67,51940,0.795,0.137,-0.8,-0.092
3,68,51940,0.786,0.134,-0.8,-0.123
3,69,52080,0.314,-0.194,-0.8,-0.292
3,70,52140,0.595,-0.502,-0.7,-0.243
3,71,52200,0.395,-0.7,-0.8,-0.281
3,72,52400,0.701,0.116,-0.6,-0.184
3,73,52740,0.345,-0.856,-0.7,-0.35
3,74,52740,0.486,-0.645,-0.7,-0.341
3,75,53140,0.579,-0.574,-0.2,-0.409
3,76,53340,0.308,-0.95,-0.7,-0.5
3,77,53600,0.423,-0.967,-0.889,-0.511
3,78,53680,0.392,-0.919,-0.9,-0.506
3,79,54280,0.844,0.155,-0.77,-0.08
3,80,54480,0.406,-0.94,-0.9,-0.508
3,81,54680,0.485,-0.916,-0.824,-0.283
3,82,55080,0.812,0.023,-0.6,-0.178
3,83,56340,0.368,-0.942,-0.8,-0.541
3,84,56340,0.453,-0.943,-0.9,-0.402
3,85,57540,0.507,-0.722,-0.5,-0.205
3,86,57680,0.431,-0.898,-0.8,-0.292
3,87,58480,0.603,-0.418,-0.8,-0.307
3,88,59480,0.765,0.099,-0.6,-0.114
3,89,59680,0.427,-0.931,-0.8,-0.398
3,90,60280,0.828,0.091,-0.7,-0.128
3,91,60480,0.764,0.007,-0.6,-0.194
3,92,60940,0.598,-0.446,-0.8,-0.316
3,93,63140,0.717,-0.19,-0.4,-0.092
3,94,64080,0.448,-0.811,-0.7,-0.498
3,95,64680,0.844,0.155,-0.8,-0.08
3,96,65280,0.418,-0.919,-0.7,-0.289
3,97,65540,0.804,0.165,-0.8,-0.088
3,98,66740,0.642,-0.383,-0.8,-0.287
3,99,72340,0.377,-0.865,-0.7,-0.35
3,100,85800,0.576,-0.435,-0.8,-0.207
4,1,6200,0.384,-0.912,-0.8,-0.431
4,2,7000,0.442,-0.874,-0.5,-0.476
4,3,30800,0.461,-0.936,-0.8,-0.371
4,4,34400,0.507,-0.722,-0.5,-0.205
4,5,38000,0.392,-0.919,-0.9,-0.506
4,6,42440,0.579,-0.574,-0.2,-0.409
4,7,43040,0.377,-0.865,-0.7,-0.35
4,8,47200,0.781,-0.015,-0.6,-0.086
4,9,48400,0.314,-0.194,-0.8,-0.292
4,10,48880,0.635,-0.402,-0.8,-0.294
4,11,48880,0.529,-0.676,-0.8,-0.354
4,12,49540,0.764,0.007,-0.6,-0.194
